A,60960.62,2432202.016,75MM CFP
B,60953.981,2432249.05,75MM CFP
C,60993.866,2432250.235,75MM CFP
D,60996.977,2432207.639,75MM CFP
E,60957.301,2432225.533,
F,60995.421,2432228.937,
WP1,58887.91,2430832.72,IPC12
BRM20,59695.32,2430492.09,IPC12
BRM21,59290.419,2430451.298,IPC12
BRM22,59026.02,2430606.49,IPC12
BRM38,59776.99,2429811.48,IPC12
BRM39,59516.44,2429927.8,IPC12
BRM19,60113.48,2430985,IPC12
